"Year","Env","Experiment_Code","Treatment","City","Farm","Field","Trial_ID (Assigned by collaborator for internal reference)","Soil_Taxonomic_ID and horizon description, if known","Weather_Station_Serial_Number (Last four digits, e.g. m2700s#####)","Weather_Station_Latitude (in decimal numbers NOT DMS)","Weather_Station_Longitude (in decimal numbers NOT DMS)","Date_weather_station_placed","Date_weather_station_removed","Previous_Crop","Pre-plant_tillage_method(s)","In-season_tillage_method(s)","Type_of_planter (fluted cone; belt cone; air planter)","System_Determining_Moisture","Pounds_Needed_Soil_Moisture","Latitude_of_Field_Corner_#1 (lower left)","Longitude_of_Field_Corner_#1 (lower left)","Latitude_of_Field_Corner_#2 (lower right)","Longitude_of_Field_Corner_#2 (lower right)","Latitude_of_Field_Corner_#3 (upper right)","Longitude_of_Field_Corner_#3 (upper right)","Latitude_of_Field_Corner_#4 (upper left)","Longitude_of_Field_Corner_#4 (upper left)","Cardinal_Heading_Pass_1","Issue/comment_#1","Issue/comment_#2","Issue/comment_#3","Issue/comment_#4","Issue/comment_#5","Issue/comment_#6","Comments"
"2019","NYH1_2019","NYH1","Disease trial","Aurora","Musgrave Research Farm","J","19DG","Oxyaquic Hapludalfs","12368",42.728569,-76.65158,"6/12/19","12/12/19","soybean","Case IH 335 VT 4"" deep ",,"Almaco 4-row air planter","HarvestMaster Classic GrainGage with HM800 electronics and Mirus software. ","5",42.7286833,-76.65245,42.72875,-76.6506,42.72905,-76.65056667,42.7290667,-76.65246667,90,"06-03-2019. Due to issues with the soil conditions and weather, the trial was planted quite late compared to previous years. This may have had implications for the disease set and development.","06-03-2019. Planter issues resulted in some off plots (see field map).","06-12-2019. We had technical issues to calibrate the weather station to record precipitation data properly. We encourage to use the NYH2 precipitation data which, operated in the same farm in a nearby field.","09-20-2019. NLB symptoms from artificial inoculation with S. turcica were quickly taken over by naturally occuring Anthracnose ""top dieback"" symptoms. They resulted from stalk rot disease caused by the the fungal pathogen Colletotrichum graminicola. DLA scores for this spontaneous disease were recorded along with NLB-DLA.","12-12-2019. Some plot boundaries were not clearly defined due to issues with the planter. These plots are specified in the field book.","12-12-2019. When removing the weather station from the field, the PAR sensor was on the ground and the rain bucket was found cracked. Station only logged a couple of inches of rain throughout the season.",
"2014","NYH2_2014","NYH2",,"Aurora","Musgrave Research Farm","E4",,,,42.73,-76.65,,,"soybean","The field was minium tilled.  The field was disked then cultipacked then Cultimulched then planted",,"air planter",,,,,,,,,,,,,,,,,,
"2015","NYH2_2015","NYH2",,"Aurora",,,,,"9087",42.7328868,-76.6520083,"5/8/15","11/20/15","soybean","Chisel plowed 5/4/15 Disc and finishing tool 5/6/15 ",,"air planter","Seed Spector moisture meter on Almaco combine","Depend on moisture content of grain 15.5% moisture 5.84 lbs 30% moisture 7.05 lbs",42.732712,-76.653275,42.732194,-76.653243,42.73226,-76.65229,42.732764,-76.652303,180,,,,,,,
"2016","NYH2_2016","NYH2","Standard","Aurora","Musgrave Research Farm","P1","A16NYH2",,"9087",42.72543,-76.6551,"5/9/16","12/14/16","Winter wheat","Moldboard plowed November
","Disced and cultimulched","air planter","Seed Spector moisture meter on Gleaner combine",,42.725428,-76.6551,42.726806,-76.6551,42.726806,-76.655578,42.725428,-76.655578,0,"Minimal rain throughout summer","Excessive rain in October","Additional weather data for the farm can be found at: http://newa.cornell.edu/index.php?page=weather-station-page&WeatherStation=aur","Plant and ear height is average from two measurements (one per row)","Wet conditions did not allow us to run the combine trough the entire field. For the last remaining plots we hand harvested 20 plants and measure them with the combine equipment",,
"2017","NYH2_2017","NYH2","Standard","Aurora","Musgrave Research Farm","Y","A17NYH2","2w3kh & 2trwv","9087",42.7328868,-76.6520083,"5/19/17","11/28/17","soybean","disc","disc","air planter","K2 Gleaner with a Harvest Master HM1000 GrainGage","5",42.732186,-76.653267,42.732208,-76.652265,42.732823,-76.652181,42.732708,-76.653288,180,"Samples for RNA-Seq collected",,,,,,
"2018","NYH2_2018","NYH2","Standard","Aurora","Musgrave Research Farm","P1","A18NYH2","KlA/LtB","9087",42.72538,-76.65642,"5/17/18","12/13/18","soybean","Chisel plowed on 12/14/17","Disked on 05/17/18 AM, Rolling Harrow on 05/17/18 PM","air planter","K2 Gleaner with a Harvest Master HM1000 GrainGage","5",42.725427,-76.655072,42.726752,-76.655135,42.726771,-76.655523,42.725493,-76.655477,0,,,,,,,
"2019","NYH2_2019","NYH2","Standard","Aurora","Musgrave Research Farm","Y","A19NYH2","HnB/LtA","9086",42.731548,-76.652105,"5/29/19","12/13/19","soybean","CaseIH VT 360 vertical tillage tool gone over 2X on 5/22",,"air planter","K2 Gleaner with a Harvest Master HM1000 GrainGage","5",42.7326631,-76.6520512,42.732629,-76.6529434,42.7317649,-76.6529224,42.7317991,-76.65203,180,"http://newa.cornell.edu/index.php?page=weather-station-page&WeatherStation=aur",,,,,,
"2020","NYH2_2020","NYH2","Standard","Aurora","Musgrave Research Farm","XS","A20NYH2","LtA, LtB, KIA","1086",42.732895,-76.649673,"5/6/20","11/2/20","soybean",,"CaseIH VT 360 vertical tillage tool gone over 2X on 5/30","air planter","Harvest Master High Capacity GrainGage, HM800 Electronics, run with Mirus Software","5",42.731967,-76.649715,42.731936,-76.651002,42.732638,-76.650994,42.732662,-76.64974,181,"Shift(not tractor planted) heading south pass 18, columns 35 and 36, range 7 
All plots in column 35 and 36 in ranges 1  to 7 are likely shifted and not the genotype they are supposed to be","Replanted empty plot 267 by hand next day with PHB47/Mo17. Replanted empty plot 268 by hand next day with Tx714/PHZ51",,,,,
"2021","NYH2_2021","NYH2","Standard","Aurora","Musgrave Research Farm","D","A21NYH2","LtA, HnB,KIA ","1087",42.73366,-76.65654,"5/21/21","11/2/21","soybean","CaseIH VT 360 vertical tillage tool gone over 2X on 5/18/2021",,"air planter","Harvest Master High Capacity GrainGage, HM800 Electronics, run with Mirus Software","5",42.732955,-76.65655,42.733032,-76.655673,42.733558,-76.655694,42.733511,-76.656558,356,"PH/EH is average from 3 plants","Standing water issues (mostly towards end of season) ","Planter skipped range 12 in pass 2 (columns 3/4) - whole pass moved one range down. Plots 1-2 had no border","Moisture sensor at harvest was measuring consistently lower than expected. It was suggested to add ~3% to all plots, but after some internal discussion we decided that it was better to leave it as it is. The error should be clear and corrected when adding a row/column effect, since the harvester does not move randomly across the field.",,,
"2015","NYH3_2015","NYH3",,"Aurora",,,,,"9086",42.723533,-76.656415,"5/23/15","11/20/15","Fallow most of 2014 winter planted in fall of 2014 then sprayed with Glystar 24 floz/a on 5/3/15  and killed spring of 2015 spray ","Chisel plowed 5/7/15 disc and field finisher 5/23/15",,"air planter","Seed Spector moisture meter on Almaco combine","Depend on moisture content of grain 15.5% moisture 5.84 lbs 30% moisture 7.05 lbs",42.723512,-76.656229,42.723107,-76.656199,42.723285,-76.654966,42.723546,-76.654984,90,,,,,,,
"2017","NYH3_2017","NYH3","Standard","Aurora","Musgrave Research Farm","W","A17NYH3","LtA","9086",42.733042,-76.651994,"6/1/17","11/28/17","wheat","disc","disc","air planter","K2 Gleaner with a Harvest Master HM1000 GrainGage","5",42.733064,-76.653178,42.733078,-76.652239,42.733716,-76.652233,42.733727,-76.653338,0,"Some samples collected for ionomics",,,,,,
"2018","NYH3_2018","NYH3","Standard","Aurora","Musgrave Research Farm","P1","A18NYH3","KlA/LtB","9086",42.72532,-76.65507,"5/17/18","12/13/18","soybean","Chisel plowed on 12/14/17","Disked on 05/17/18 AM, Rolling Harrow on 05/17/18 PM","air planter","K2 Gleaner with a Harvest Master HM1000 GrainGage","5",42.725529,-76.655467,42.726771,-76.655523,42.726789,-76.655885,42.725553,-76.655831,0,,,,,,,
"2019","NYH3_2019","NYH3","Standard","Aurora","Musgrave Research Farm","Y","A19NYH3","LtA/HnB","9087",42.732845,-76.654107,"5/29/19","12/13/19","soybean","CaseIH VT 360 vertical tillage tool gone over 2X on 5/23",,"air planter","K2 Gleaner with a Harvest Master HM1000 GrainGage","5",42.732626,-76.6530185,42.7325891,-76.6539109,42.7317256,-76.6538891,42.7317617,-76.653,180,"http://newa.cornell.edu/index.php?page=weather-station-page&WeatherStation=aur",,,,,,
"2020","NYH3_2020","NYH3","Standard","Aurora","Musgrave Research Farm","XS","A20NYH3","LtA, LtB,HnB ","1087",42.732557,-76.651734,"5/6/20","11/2/20","soybean",,"CaseIH VT 360 vertical tillage tool gone over 2X on 5/30","air planter","Harvest Master High Capacity GrainGage, HM800 Electronics, run with Mirus Software","5",42.731936,-76.651002,42.73192,-76.651739,42.732605,-76.651747,42.732638,-76.650994,181,"Shift(not tractor planted) heading south pass 36, columns 71 and 72, ranges 7 and 4 
All plots in column 71 and 72 in ranges 1  to 7 are likely shifted and not the genotype they are supposed to be","Replanted empty plot 117 by hand next day with B73/PHZ51. Replanted empty plot 118 by hand next day with LH195/PHZ51. Replanted empty plot 283 by hand next day with PHJ40/PHAJ0. Replanted empty plot 284 by hand next day with LH195/Mo17",,,,,
"2021","NYH3_2021","NYH3","Standard","Aurora","Musgrave Research Farm","D","A21NYH3","LtA, HnB,KIA ","1086",42.73384,-76.65443,"5/21/21","11/2/21","soybean","CaseIH VT 360 vertical tillage tool gone over 2X on 5/18/2021",,"air planter","Harvest Master High Capacity GrainGage, HM800 Electronics, run with Mirus Software","5",42.733032,-76.655673,42.733089,-76.654694,42.733621,-76.654712,42.733558,-76.655694,356,"PH/EH is average from 3 plants","Standing water issues (mostly towards end of season) ","Moisture sensor at harvest was measuring consistently lower than expected. It was suggested to add ~3% to all plots, but after some internal discussion we decided that it was better to leave it as it is. The error should be clear and corrected when adding a row/column effect, since the harvester does not move randomly across the field.",,,,
"2020","NYS1_2020","NYS1","Standard","Aurora","Musgrave Research Farm","XS","A20NYS1","LtA, HnB, LtB","1087",42.732557,-76.651734,"5/6/20","11/2/20","soybean",,"CaseIH VT 360 vertical tillage tool gone over 2X on 5/30","air planter","Harvest Master High Capacity GrainGage, HM800 Electronics, run with Mirus Software","5",42.73192,-76.651739,42.731925,-76.651739,42.732605,-76.651747,42.732608,-76.651747,181,"Plots 45-50 are hybrid filler",,,,,,
"2021","NYS1_2021","NYS1","Standard","Aurora","Musgrave Research Farm","D","A21NYS1","LtA, HnB,KIA ","1086",42.73384,-76.65443,"5/21/21","11/2/21","soybean","CaseIH VT 360 vertical tillage tool gone over 2X on 5/18",,"air planter","Harvest Master High Capacity GrainGage, HM800 Electronics, run with Mirus Software","5",,,,,,,,,,"PH/EH is average from 3 plants","Standing water issues (mostly towards end of season) ","Moisture sensor at harvest was measuring consistently lower than expected. It was suggested to add ~3% to all plots, but after some internal discussion we decided that it was better to leave it as it is. The error should be clear and corrected when adding a row/column effect, since the harvester does not move randomly across the field.","Experiment on the right side of NYH3.",,,
"2015","OHH1_2015","OHH1",,"South Charleston",,,,,"800",39.855359,-83.665356,"5/29/15","10/17/15","soybean","Fall Chisel, Spring Turbo-Till",,"air planter","HarvestMaster - FRS GHM","6",39.85542,-83.664387,39.856075,-83.664298,39.85615,-83.665185,39.855495,-83.665225,270,,,,,,,
"2016","OHH1_2016","OHH1","Standard","South Charleston","Western Ag Research Station","G234",,,"10800",39.860536,-83.675091,"6/1/16","10/15/16","soybean","Fall Diskchisel, Spring Culivator","none","air planter","Harvestmaster - FRS GHM","6",39.860557,-83.675203,39.861216,-83.675122,39.861288,-83.675998,39.860635,-83.676075,270,"Above average temps for the growing season June-Sept. +3.3 degrees","Rainfall June/July  3.1"" below average","Rainfall Aug/Sept  5.6"" above average","August - Two heavy rain and/or wind everts contributed to high stalk lodging scores of some hybrids 
",,,
"2017","OHH1_2017","OHH1","Standard","South Charleston","Western Ag Research Station","D1/D2","OHH1",,"800",39.855359,-83.665356,"4/18/17","10/20/17","soybean","Fall Diskchisel / Spring Culivator",,"air planter","HarvestMaster - FRSGHM","6",39.85542,-83.664387,39.856075,-83.664298,39.85615,-83.665185,39.855495,-83.665225,270,"Heavy rains immediately after planting slowed emergence and reduced stands in some plots.",,,,,,
"2018","OHH1_2018","OHH1","Standard","South Charleston","Western Ag Research Station","F1","OHH1",,"10800",39.856553,-83.670296,"5/29/18","10/10/18","soybean","fall disk chisel, spring cultivator",,"air planter","HarvestMaster - FRSGHM","6",39.856653,-83.670361,39.856982,-83.670318,39.857123,-83.672089,39.856795,-83.672132,270,"Plants broken or damaged by sidedress applicator. (new employee) Stand reduction varied from 0-50 percent. Stand Count column is at harvest. Data in ""additional measurement"" is emergence stand count.Ê",,,,,,
"2019","OHH1_2019","OHH1","Standard","South Charleston","Western Ag Research Station","F1","OHH1",,"10800",39.856512,-83.670306,"6/7/19","11/6/19","soybean","Fall Diskchisel, Spring Disk",,"air planter","HarvestMaster - FRSGHM","6",39.856629,-83.670359,39.856956,-83.670316,39.857074,-83.67209,39.856746,-83.672134,270,,,,,,,
"2020","OHH1_2020","OHH1","Standard","South Charleston","Western Ag Research Station","F3","OH-H1",,"10800",39.856831,-83.673986,"6/2/20","11/10/20","soybean","cultivator","none","air planter","HarvestMaster - FRSGHM","6",39.856658,-83.673847,39.85633,-83.67388,39.856211,-83.671928,39.85654,-83.671894,90,,,,,,,
"2014","ONH1_2014","ONH1",,"Waterloo","Rosdendale","Huras",,,"8651",43.497025,-80.42696111,,,"wheat","conventional",,"Vacuum",,,,,,,,,,,,,,,,,,
"2015","ONH1_2015","ONH1",,"Waterloo",,,,,"8651",43.498449,-80.4489,"5/3/15","11/1/15","wheat","Conventional",,"air planter",,,43.497347,-80.448907,43.496987,-80.448637,43.497528,-80.447242,43.497817,-80.447455,55,,,,,,,
"2016","ONH1_2016","ONH1","Standard","Waterloo","Rosendale Farms","West of driveway",,,"8651",43.497786,-80.451464,"4/30/16","10/14/16","wheat","Cultivator ","None","air planter","Harvest Master 800","7",43.499678,-80.451969,43.4994,-80.451739,43.499919,-80.450275,43.500189,-80.450517,295,"Drought ",,,,,,
"2017","ONH1_2017","ONH1","Standard","Waterloo","Rosendale Farms","Hopewell Creek",,,,43.497179,-80.4276,,,"wheat","Fall soil chisel, spring cultivator",,"air (Seedpro)","Harvestmaster","6.6",43.496036,-80.426126,43.495887,-80.426532,43.494869,-80.425816,43.495048,-80.425401,150,,,,,,,
"2014","ONH2_2014","ONH2",,"Ridgetown","On Campus","Range 5",,,"8652",42.45419722,-81.88311111,,,"soybean","Fall Chisel Plow; Spring Cultivate",,"Fluted Cone",,,,,,,,,,,,,,,,,,
"2015","ONH2_2015","ONH2",,"Ridgetown",,,,,"8652",42.453461,-81.882117,"5/25/15",,"soybean","Conventional",,"fluted cone",,,42.454331,-81.880906,42.454567,-81.881217,42.453603,-81.881997,42.453844,-81.882306,220,,,,,,,
"2016","ONH2_2016","ONH2","Standard","Ridgetown","Research","Range 23","ONH2",,"8652",42.452816,-81.883474,"5/13/16","11/1/16","soybean","Cultivate","None","fluted cone","Harvest Master","5",42.452749,-81.883455,42.452505,-81.883195,42.453269,-81.88214,42.453491,-81.882405,60,,,,,,,
"2017","ONH2_2017","ONH2","Standard","Ridgetown","On Campus","Range 22","Genome 2017",,"8652",43.07471,-89.384397,"5/22/17","11/1/17","soybean","Chisel plow,cultivate",,"fluted cone","Harvest Master","5",42.452733,-81.883468,42.452401,-81.883032,42.453132,-81.882,42.453455,-81.882426,50,"Discarded 24 plots for Raccoon Damage",,,,,,
"2019","ONH2_2019","ONH2","Standard","Ridgetown","On Campus","Range 22","Genome 2019",,"8652",42.452094,-81.8826,"6/19/19","11/20/19","soybean","Cultivator",,"Vacum","Harvest Master","7",42.452053,-81.882542,42.451724,-81.882108,42.452351,-81.881155,42.452723,-81.881571,45,,,,,,,
"2018","SCH1_2018","SCH1","Standard","Clemson","Simpson Small Ruminant Research and Education Center",,,,"11997",34.622457,-82.736821,"7/10/18","9/14/18","soybean","Heavy disk, Chisel plow, Field cultivator",,"belt cone","Almaco advantage HD software with compatible Almaco grain meter","5",34.622082,-82.73703,34.621797,-82.736405,34.622525,-82.735921,34.622802,-82.736578,,,,,,,,
"2019","SCH1_2019","SCH1","Standard","Pendleton","Simpson Small Ruminant Research and Education Center",,,,"8655",34.62263,-82.737966,,,"soybean","disc harrow followed by chisel plow, field cultivator used to prepare final seed bed",,"air planter","Almaco Moisture Meter","6.5",34.622112,-82.737411,34.622559,-82.737985,34.623146,-82.737464,34.622112,-82.737411,52,,,,,,,
"2020","SCH1_2020","SCH1","Standard","Pendleton","Simpson Small Ruminant Research and Education Center",,,,"8655",34.621695,-82.736499,,,"soybean","conventional, heavy disc, chisel plow, field cultivator","Hand hoeing","4 row almaco GPS Drop precision vacuum planter","Almaco seed spector 12","6",34.621912,-82.737416,34.621727,-82.736504,34.622526,-82.736,34.622835,-82.736724,206,,,,,,,
"2021","SCH1_2021","SCH1","Standard","Clemson","Simpson Small Ruminant Research and Education Center",,,,"8655",34.623028,-82.737083,"4/1/21","9/15/21","soybean","Conventional, heavy disc, chisel plow, field cultivator","Hand hoeing","4 row almaco GPS Drop precision vacuum planter","Almaco seed spector 12","6",34.622998,-82.737131,34.622292,-82.737574,34.622091,-82.737067,34.622804,-82.736641,,,,,,,,
"2015","SDH1_2015","SDH1",,"New Underwood",,,,,,44.208912,-102.929751,,,"wheat","No-till",,"fluted cone","Harvest Master Grain Gauge","~2.5",44.20888,-102.92972,44.20861,-102.92972,44.20861,-102.92777,44.20888,-102.92777,90,,,,,,,
"2014","TXH1_2014","TXH1",,"College Station","University Farm","224",,,"8428",30.54684444,-96.43394444,,,"wheat","min-till",,"Fluted cone",,,,,,,,,,,,,,,,,,
"2015","TXH1_2015","TXH1",,"College Station, Texas",,,,,"8428",30.546919,-96.434358,"3/12/15","7/28/15","corn","Min-Till",,"belt cone","Harvest Master","~5 lbs",30.546769,-96.43468,30.546504,-96.434278,30.547367,-96.433155,30.547705,-96.433626,225.07,,,,,,,
"2016","TXH1_2016","TXH1","Standard","College Station, Texas","University Field Lab ","210","CS16-G2FH",,"8428",30.546919,-96.434358,"3/4/16","8/4/16","corn","Min-Till ",,"belt cone","Harvest Master ","~5 lbs",30.546769,-96.43468,30.546504,-96.434278,30.547367,-96.433155,30.547705,-96.433626,225.07,,,,,,,
"2017","TXH1-Dry_2017","TXH1","Standard","College Station","University Field Lab","210","CS17-G2FE",,,30.54535,-96.432581,"3/8/17","8/10/17",,,,,,,,,,,,,,,,,,,,,,"Information for TXH1-Dry_2017, TXH1-Early_2017, and TXH1-Late_2017"
"2019","TXH1_2019","TXH1","Standard","College Station",,,,,"8428",30.545296,-96.431858,,,,,,,,,30.546732,-96.434713,30.547797,-96.433521,30.545897,-96.431285,30.544846,-96.432467,,,,,,,,
"2020","TXH1_2020","TXH1","Standard","College Station",,,,,"8428",30.538575,-96.426775,,,,"Heavy Disk and then rows placed","Cultivator","belt cone","Harvestmaster","3",30.537182,-96.428085,30.537623,-96.427673,30.538428,-96.428648,30.53803,-96.42908,,,,,,,,
"2021","TXH1_2021","TXH1","Standard - Irrigated Optimal","College Station ","Texas A&M Research Farm","302","G2F1","Belk Clay Loam (BaA) / Ships Clay Loam (ShA)","8428",30.538862,-96.428477,,,"corn","Disked the whole field and then rows were placed","Cultivator tilling ","belt cone","Harvest Master","3",30.53774915,-96.42757069,30.53816952,-96.42705666,30.53897895,96.42807434,30.53855411,96.42853644,310,"There was a substantial morning glory infestation due to abnormally wet season. Extra steps were taken to combat infestation. Some plots were more affected than others.","Coordinates approximate from Google Maps",,,,,
"2018","TXH1-Dry_2018","TXH1- Dry","Drought","College Station",,,,,"8428",30.545296,-96.431858,,,,,,,,,30.546732,-96.434713,30.547797,-96.433521,30.545897,-96.431285,30.544846,-96.432467,,,,,,,,
"2018","TXH1-Early_2018","TXH1- Early","Early Planting","College Station",,,,,"8428",30.545296,-96.431858,,,,,,,,,30.546732,-96.434713,30.547797,-96.433521,30.545897,-96.431285,30.544846,-96.432467,,,,,,,,
"2018","TXH1-Late_2018","TXH1- Late","Late Planting","College Station",,,,,"8428",30.545296,-96.431858,,,,,,,,,30.546732,-96.434713,30.547797,-96.433521,30.545897,-96.431285,30.544846,-96.432467,,,,,,,,
"2014","TXH2_2014","TXH2",,"Halfway","Halfway","pivot",,,"8630",34.18466667,-101.9494444,,,,,,"fluted cone",,,,,,,,,,,,,,,,,,
"2015","TXH2_2015","TXH2",,,,,,,"8630",,,,,,,,,,,,,,,,,,,,,,,,,,
"2016","TXH2_2016","TXH2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017","TXH2_2017","TXH2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2018","TXH2_2018","TXH2","Standard","Lubbock",,,,,"8630",,,"5/22/18","11/14/18",,,,,,,,,,,,,,,,,,,,,,
"2019","TXH2_2019","TXH2","Standard","College Station",,,,,"14790",,,,,,,,,,,30.546732,-96.434713,30.547797,-96.433521,30.545897,-96.431285,30.544846,-96.432467,,,,,,,,
"2020","TXH2_2020","TXH2","Dry Land","College Station",,,,,"14790",30.538042,-96.429056,,,,"Heavy Disk and then rows placed","Cultivator","belt cone","Harvestmaster","3",30.537623,-96.427673,30.538091,-96.427156,30.538883,-96.428132,30.538428,-96.428648,,,,,,,,
"2021","TXH2_2021","TXH2","Dryland optimal","College Station ","Texas A&M Research Farm","302","G2F2","Belk Clay Loam (BaA) / Ships Clay Loam (ShA)","14790",30.538862,-96.428477,,,"corn","Disked the whole field and then rows were placed","Cultivator tilling ","belt cone","Harvest Master","3",30.53724828,-96.42813145,30.53772232,-96.42757588,30.53853175,-96.42859875,30.53802641,-96.42913874,310,"There was a substantial morning glory infestation","Coordinates approximate from Google Maps",,,,,
"2019","TXH3_2019","TXH3","Standard","College Station",,,,,"8428",30.545296,-96.431858,,,,,,,,,30.546732,-96.434713,30.547797,-96.433521,30.545897,-96.431285,30.544846,-96.432467,,,,,,,,
"2020","TXH3_2020","TXH3","Late Stressed","College Station",,,,,"8428",30.538575,-96.426775,,,,"Heavy Disk and then rows placed","Cultivator","belt cone","Harvestmaster","3",30.538091,-96.427156,30.538504,-96.426711,30.539301,-96.427671,30.538883,-96.428132,,,,,,,,
"2021","TXH3_2021","TXH3","Late Planted Irrigated","College Station ","Texas A&M Research Farm","302","G2F3","Belk Clay Loam (BaA) / Ships Clay Loam (ShA)","8428",30.538862,-96.428477,,,"corn","Disked the whole field and then rows were placed","Cultivator tilling ","belt cone","Harvest Master","3",30.53820977,-96.42708262,30.5386838,-96.42657379,30.53943061,-96.42754992,30.53898789,-96.42807434,310,"Coordinates approximate from Google Maps",,,,,,
"2019","TXH4_2019","TXH4","Standard","Lubbock",,,,,"8630",,,"5/22/18","11/14/18",,,,,,,,,,,,,,,,,,,,,,
"2015","WIH1_2015","WIH1",,"Madison",,,,,"8648",43.05619,-89.332619,"6/10/15","10/26/15","soybean","Fall Chisel",,"air planter","Harvest Master","1",43.054433,-89.52875,43.054433,-89.528414,43.055811,-89.528236,43.055792,-89.5287,0,,,,,,,
"2016","WIH1_2016","WIH1","Standard","Madison","West Madison Agricultural Research Station","M1300",,,"8648",43.055814,-89.531719,"5/30/16","10/31/16","soybean","Fall plow/Spring field cultivator","none","air planter","Harvest Master 800 System","2",43.056867,-89.531689,43.056814,-89.532197,43.055806,-89.532194,43.055814,-89.531719,180,,,,,,,
"2017","WIH1_2017","WIH1","Standard","Madison","West Madison Agricultural Research Station","M1400 N",,,"8648",43.057176,-89.531052,"5/2/17","10/19/17","soybean","field cultivate","hand weed","fluted cone",,,43.057176,-89.531052,43.057129,-89.530495,43.056213,-89.530627,43.056207,-89.53108,,,,,,,,
"2018","WIH1_2018","WIH1","Standard","Madison","West Madison Agricultural Research Station","M1300",,,"8648",43.05433,-89.53126,"5/10/18","12/5/18","soybean","spring field cultivator",,"air planter","HarvestMaster Twin H2","3",43.0554,-89.5311,43.0554,-89.5322,43.0534,-89.5322,43.0534,-89.5313,180,,,,,,,
"2019","WIH1_2019","WIH1","Standard","Madison","West Madison Agricultural Research Station","M1400",,"PoA, TrB","8652",43.056965,-89.530937,,,"soybean","field cultivator",,"air planter","Harvest Master H2 Grain Gauge","5",43.057183,-89.530362,43.057175,-89.531077,43.05436,-89.530436,43.07471,-89.384397,,,,,,,,
"2020","WIH1_2020","WIH1","Standard","Madison","West Madison Agricultural Research Station","M1500",,"PoA, TrB","8652",43.055767,-89.531381,"5/8/20","10/22/20","soybean","field cultivator",,"air planter","Harvest Master H2 Grain Gauge","5",43.0568242,-89.528261,43.056812,-89.52873,43.053298,-89.528345,43.053286,-89.528817,,"Some plots on border were too close to filler corn",,,,,,
"2021","WIH1_2021","WIH1","Standard","Madison","West Madison Agricultural Research Station","M1400","WIH1","PoA, TrB",,43.057222,-89.529444,"5/26/21","10/24/21","soybean","Field cultivator",,"air planter","Harvest Master H2 Grain Gauge","5",43.05714,-89.52965,43.05715,-89.53106,43.0536,-89.53115,43.05359,-89.52973,,"Watchdog deployed late",,,,,,
"2015","WIH2_2015","WIH2",,"Arlington",,,,,"8647",43.326583,-89.332619,"5/29/15","10/14/15","soybean","Fall Chisel",,"air planter","Harvest Master","1",43.326656,-89.334397,43.326261,-89.334386,43.326241,-89.332833,43.326636,-89.332783,90,,,,,,,
"2016","WIH2_2016","WIH2","Standard","Arlington","Arlington Agricultural Research Station","680",,,"8647",43.325958,-89.340114,"6/3/16","10/24/16","soybean","Field Cultivator",,"air planter","Harvest Master 800 System","2",43.326953,-89.340156,43.325958,-89.340114,43.326019,-89.337544,43.327033,-89.337503,90,"Heavy Stalk Lodging","9/12/16 weather station water meter clogged",,,,,
"2017","WIH2_2017","WIH2","Standard","Arlington","Arlington Agricultural Research Station","616",,,"8647",43.324231,-89.33564,"5/10/17","11/6/17","soybean","field cultivate","hand weed","fluted cone",,,43.324531,-89.335756,43.324745,-89.335736,43.324784,-89.338019,43.324506,-89.33804,,,,,,,,
"2018","WIH2_2018","WIH2","Standard","Arlington","Arlington Agricultural Research Station","28 West",,,"8647",43.30393,-89.38522,"5/24/18","9/5/18","soybean","spring field cultivator",,"air planter","HarvestMaster 800","3",43.4049,-89.3852,43.3048,-89.3852,43.4084,-89.3877,43.4049,-89.3877,270,,,,,,,
"2019","WIH2_2019","WIH2","Standard","Arlington","Arlington Agricultural Research Station","593",,"PnA, PnB","8648",43.3189,-89.3885,,,"soybean","field cultivator",,"air planter","Harvest Master H2 Grain Gauge","5",43.32034,-89.332787,43.321192,-89.332755,43.32113,-89.331034,43.32041,-89.331003,,,,,,,,
"2020","WIH2_2020","WIH2","Standard","Arlington","Arlington Agricultural Research Station","F1 East",,"PnA, PnB","8648",43.294275,-89.384175,"5/14/20","11/3/20","soybean","field cultivator",,"air planter","Harvest Master H2 Grain Gauge","5",43.294275,-89.384175,43.294277,-89.383762,43.295295,-89.383762,43.295297,-89.384173,,"considerable lodging in some part",,,,,,
"2021","WIH2_2021","WIH2","Standard","Arlington","Arlington Agricultural Research Station","593","WIH2","PnA, PnB","1997",43.319722,-89.332778,"5/31/21","11/5/21","soybean","Field cultivator",,"air planter","Harvest Master H2 Grain Gauge","5",43.319604,-89.332737,43.319548,-89.330732,43.320551,-89.330706,43.320573,-89.332728,,,,,,,,
"2020","WIH3_2020","WIH3","Standard","Hancock","Hancock Agricultural Research Station","S21-S22",,"Sandy","14288",44.115565,-89.547945,"5/22/20","11/10/20",,"disk","none","air planter","Harvest Master H2 Grain Gauge","5",44.115206,-89.545233,44.115207,-89.544595,44.1162,-89.545237,44.116199,-89.544588,,"Some plots damaged by irrigation wheel",,,,,,
"2021","WIH3_2021","WIH3","Standard","Hancock","Hancock Agricultural Research Station","S32, S25","WIH3","Sandy","1332",44.115556,-89.547778,"5/13/21","10/5/21","corn","Disc, Dynadrive",,"air planter","Harvest Master H2 Grain Gauge","5",44.11493,-89.5431,44.11496,-89.5453,44.11368,-89.5453,44.11365,-89.5432,,,,,,,,
